anger,2015-10-23 16:52,CHECK IT OUT http://ebay.to/1E668IW #Anger Inside Out Small #Figure #sales #InsideOut #ebay #shopping,macdougalz12,0,0,0,1,,,,,,,,,,,
anger,2015-12-04 15:56,Ooh the noises for the last 30 mins. Think shes terrified the kids! 😱 😲 😷 🔫 #vom #pissed https://www.instagram.com/p/-455lbTM-S/,infamous_wurv,0,0,1,,,,,,,,,,,,
anger,2015-12-12 15:50,@realDonaldTrump good you racist pig #angry as hell Blackman,mardib69,0,0,1,,,,,,,,,,,,
anger,2016-01-16 15:41,Probably spent almost everyday of break with @saraarobertss and we didn't take one picture together #pissed,CloMazz92,1,2,1,,,,,,,,,,,,
anger,2015-12-12 15:51,"What's mine is mine, LEAVE MY FIANCÉE ALONE ! #pissed",laurencashion,0,0,1,,,,,,,,,,,,
anger,2015-09-05 16:59,@mflynn3 You were great against the Eagles! I'm #pissed you're gone! Good luck with what comes next!,WrFarley,0,0,1,,,,,,,,,,,,
anger,2016-01-23 15:59,@Diablo F**K YOU GUYS! 1 second left as I complete your stupid set level cap and it failed me!! #pissedoff #thisispointlessasfuck,butchplease01,0,1,1,,,,,,,,,,,,
anger,2016-01-13 15:53,"#Donald #Trump rejects #White #Nationalist #Support , but not #Voters ' #Anger http://bit.ly/1J3X2Ex",dad2se,0,0,0,1,,,,,,,,,,,
anger,2016-02-08 15:49,#positivity http://bit.ly/orgmind #Resentments #anger #recovery #alcoholism #… http://nickevansinsidejob.blogspot.co.uk/2016/02/how-to-deal-with-resentments.html?m=1,Sherriekxija,0,0,0,1,,,,,,,,,,,
anger,2015-12-23 15:58,@heyalyshahey #hurt #mad #angry,YOUNGHUGGER,0,0,1,,,,,,,,,,,,
anger,2016-01-07 15:58,@netflix why did you remove seasons 1-12 of svu #pissed,camillealthen,0,0,1,,,,,,,,,,,,
anger,2015-10-16 16:56,That was a nice drink apparently #pissed #night,ImStoddicus,0,1,1,,,,1,1,,,,,,,
anger,2015-11-11 15:56,So glad I wasted my time booking an apt @WoodridgeFord to have my car fixed & 7 hrs later it still hadn't been touched! #pissedoff,Paterson_girl,0,0,1,,,,,,,,,,,,
anger,2016-02-20 15:46,This bitch just broke my pineapple case #pissed,DeannaJohnell,0,1,1,,,,,,,,,,,,
anger,2015-12-05 15:44,#Angry #Birds #Stella - #Season 2 Ep.5 #Sneak #Peek - ... http://wp.me/p5wiVg-dnb #Ep5 #Its #Minequot hasImg,BestVideosToday,0,0,0,1,,,,,1,,,1,,,0
anger,2016-02-21 15:44,#pissed #done #fuckracism,goldwolfstar,0,0,1,,,,,,,,,,,,
anger,2015-11-12 15:57,@Andrelton i dont even wanna cheer for the #Braves anymore. One of our best players traded for a bunch of no ones. #mad #irritated,ECK46,0,0,1,,,,,,,,,,,,
anger,2016-01-22 15:41,When @tmooney21 texts @chlowaayyy but can't favorite my tweet ✌ #pissed,GarrettGamblin,1,3,1,,,,,,,,,,,,
anger,2015-12-13 15:53,The 3 step process for dealing with #angry blamers http://hfhradio.com/episode-9-28-15-going-debt-free-tracie-fobes-of-the-penny-pinchin-mom-interview/#more-296 #HFHradio #relationships #marriage,HFHradio,0,0,0,1,,,,,,,,,,,
anger,2015-12-08 15:59,Pull up on me tomorrow for #MAD hasImg,Senior_Ratchet,3,2,1,,,,,,1,,,,1,,0
anger,2015-10-09 16:58,Careless talk on religious #affairs without #knowledge is a great sin-it causes Allah’s #anger . #beCareful,OmarGrande1992,0,0,1,,,,1,,,,,,,,
anger,2015-09-23 16:59,#MAD ?? #JB #Mark #Jackson #Junior #GOT7 hasImg,AlwaysMarkINA,1,0,1,,,,,,1,,,1,,,1
anger,2016-02-15 15:59,IS ME!! @djfitix #Play #music #MAD TOUR 🔥 ❌ 🐉 hasImg,djfitix,1,3,1,,,,,,1,,,1,,,0
