Stop Watching CNN. It seems the only ones that Believe their BS are the ones that's reporting it! This Smear Campaign is political #Disgust,1
Absolutely shocking referee mistakes 2 in 50 seconds that cannot be rescinded. Cresswell was class Should have been pen ended a red #disgust,1
"Maybe I should add #snarkand#disgustto my Twitter profile to save people the time of following then having to unfollow me. Sorry, people.",1
ew when you find out your relatives are NRA loving Trump fans 😷#disgust,1
"Exactly, and how can the Media look themselves in the mirror each day. The must have to shower 5 times a day, they must feel dirty. #disgust",1
I have all of you BEAT!! My opinion of him is SO LOW it's no longer an Opinion. It's just plain ole #DISGUST#REPULSION,1
"@TimesNowGood for nothing, full of liars and cheats@AamAadmiParty#Disgust",1
I think from here on out @KellyannePollsyou and@realDonaldTrumpdon't try to be nice.@CNNis corrupt to the core.We all know it#Disgust,1
Jacob Zuma represents all that is Wretched & Vile in South Africa' #DisgustIt feels flaky and insubstantial to... http://fb.me/UzDMoxIc,1
My son made 1st honors was invited to Presidential Inauguration Key note speakers both #muslims#thanksobama#hillary#weythepeople#disgust,1
"To threaten #UCTcreche?#shackvilleTRCare dishonest, selfish terrorists claiming victimhood. Be honourable for once.#uctshutdown#disgust",1
The people of the UK disgusted.Mistake? What so there weren't mass graves? @YouBetTheyDie@mikebairdMPhope the bribe was worth it.#disgust,1
"@BasuAshis@ashoswai@BBCWorldMore so what kind of parents would sacrifice their daughter for a more ""profitable"" business#disgust",1
How do you traumatize a Gold Star family? Claim you could have saved the life you disparaged. #Disgust #Debates2016,1
If you vote for trump to run this country than you're just as stupid and arrogant as he is. 😷#disgust,1
"I cannot wait for early voting to begin. Today has made me sick. ""Locker room talk"" isn't an excuse. He admitted to sexual assault. #Disgust",1
@corollo@Mayorsconsortpay to watch dogs get injured & be treated badly to raise money 4 assistance dogs charity?#disgust@YouBetTheyDie,1
I'm literally a walking stretch mark. #disgust.,1
I often turn to music to clear my mind but it's difficult with all of this insanity in the #PresidentialElection#disgust#NoToTrump#MRTAGA,1
"Clean teeth, and black coffee. #disgust",1
Took 10 flights on @emiratesthis year. But in the end they had to loot me for $200.Soo cheap@EmiratesSupport#disgust#A380#aviation#EK,1
Labour's response to Tory festival of xenophobia: you let too many foreigners in #disgust#dismay#dismal,1
sarahllewellyn1 outraged by this dirty dishcloth #disgust 😂😂😂😂😂😂😂😂😂😂😂😂😂https://www.instagram.com/p/BLLTTKpjxTz/,1
